ANO_ELEICAO,SG_UF,SG_PARTIDO,DS_CARGO,eleitos,total_estado,coeficiente
1994,AC,DEM*,DEPUTADO ESTADUAL,5,24,20.83
1994,AC,MDB*,DEPUTADO ESTADUAL,6,24,25.0
1994,AC,MDB*,DEPUTADO FEDERAL,4,8,50.0
1994,AC,MOBILIZA*,DEPUTADO ESTADUAL,2,24,8.33
1994,AC,PC DO B,DEPUTADO ESTADUAL,1,24,4.17
1994,AC,PP*,DEPUTADO FEDERAL,1,8,12.5
1994,AC,PPR,DEPUTADO ESTADUAL,8,24,33.33
1994,AC,PPR,DEPUTADO FEDERAL,3,8,37.5
1994,AC,PT,DEPUTADO ESTADUAL,2,24,8.33
1994,AL,DEM*,DEPUTADO ESTADUAL,4,27,14.81
1994,AL,DEM*,DEPUTADO FEDERAL,1,9,11.11
1994,AL,MDB*,DEPUTADO ESTADUAL,6,27,22.22
1994,AL,MDB*,DEPUTADO FEDERAL,1,9,11.11
1994,AL,MOBILIZA*,DEPUTADO ESTADUAL,2,27,7.41
1994,AL,PP*,DEPUTADO ESTADUAL,3,27,11.11
1994,AL,PP*,DEPUTADO FEDERAL,1,9,11.11
1994,AL,PPR,DEPUTADO ESTADUAL,1,27,3.7
1994,AL,PPR,DEPUTADO FEDERAL,1,9,11.11
1994,AL,PRP,DEPUTADO ESTADUAL,1,27,3.7
1994,AL,PSB,DEPUTADO ESTADUAL,2,27,7.41
1994,AL,PSC,DEPUTADO ESTADUAL,6,27,22.22
1994,AL,PSC,DEPUTADO FEDERAL,1,9,11.11
1994,AL,PSD,DEPUTADO FEDERAL,1,9,11.11
1994,AL,PSDB,DEPUTADO FEDERAL,2,9,22.22
1994,AL,PT,DEPUTADO ESTADUAL,1,27,3.7
1994,AL,PTB,DEPUTADO ESTADUAL,1,27,3.7
1994,AL,PTB,DEPUTADO FEDERAL,1,9,11.11
1994,AM,DEM*,DEPUTADO ESTADUAL,2,24,8.33
1994,AM,DEM*,DEPUTADO FEDERAL,1,8,12.5
1994,AM,MDB*,DEPUTADO ESTADUAL,5,24,20.83
1994,AM,MDB*,DEPUTADO FEDERAL,3,8,37.5
1994,AM,MOBILIZA*,DEPUTADO ESTADUAL,1,24,4.17
1994,AM,PC DO B,DEPUTADO ESTADUAL,1,24,4.17
1994,AM,PP*,DEPUTADO ESTADUAL,1,24,4.17
1994,AM,PPR,DEPUTADO ESTADUAL,7,24,29.17
1994,AM,PPR,DEPUTADO FEDERAL,3,8,37.5
1994,AM,PRP,DEPUTADO ESTADUAL,1,24,4.17
1994,AM,PSB,DEPUTADO ESTADUAL,1,24,4.17
1994,AM,PSD,DEPUTADO ESTADUAL,1,24,4.17
1994,AM,PSDB,DEPUTADO ESTADUAL,1,24,4.17
1994,AM,PSDB,DEPUTADO FEDERAL,1,8,12.5
1994,AM,PTB,DEPUTADO ESTADUAL,3,24,12.5
1994,AP,DEM*,DEPUTADO ESTADUAL,5,17,29.41
1994,AP,DEM*,DEPUTADO FEDERAL,3,8,37.5
1994,AP,MDB*,DEPUTADO ESTADUAL,3,17,17.65
1994,AP,PDT,DEPUTADO ESTADUAL,1,17,5.88
1994,AP,PL*,DEPUTADO ESTADUAL,3,17,17.65
1994,AP,PP*,DEPUTADO FEDERAL,1,8,12.5
1994,AP,PPR,DEPUTADO FEDERAL,1,8,12.5
1994,AP,PSB,DEPUTADO ESTADUAL,1,17,5.88
1994,AP,PSB,DEPUTADO FEDERAL,2,8,25.0
