ANO_ELEICAO,SG_PARTIDO,DS_CARGO,eleitos_partido_BR,total_BR,coeficiente_BR,eleitos_partido_CE,total_CE,coeficiente_CE
1994,CIDADANIA*,DEPUTADO ESTADUAL,3,1045,0.29,0,46,0.0
1994,CIDADANIA*,DEPUTADO FEDERAL,2,513,0.39,0,22,0.0
1994,DEM*,DEPUTADO ESTADUAL,157,1045,15.02,2,46,4.35
1994,DEM*,DEPUTADO FEDERAL,89,513,17.35,2,22,9.09
1994,MDB*,DEPUTADO ESTADUAL,205,1045,19.62,5,46,10.87
1994,MDB*,DEPUTADO FEDERAL,107,513,20.86,5,22,22.73
1994,MOBILIZA*,DEPUTADO ESTADUAL,18,1045,1.72,0,46,0.0
1994,MOBILIZA*,DEPUTADO FEDERAL,4,513,0.78,0,22,0.0
1994,PC DO B,DEPUTADO ESTADUAL,8,1045,0.77,0,46,0.0
1994,PC DO B,DEPUTADO FEDERAL,10,513,1.95,1,22,4.55
1994,PDT,DEPUTADO ESTADUAL,86,1045,8.23,4,46,8.7
1994,PDT,DEPUTADO FEDERAL,34,513,6.63,0,22,0.0
1994,PL*,DEPUTADO ESTADUAL,50,1045,4.78,3,46,6.52
1994,PL*,DEPUTADO FEDERAL,13,513,2.53,0,22,0.0
1994,PP*,DEPUTADO ESTADUAL,55,1045,5.26,0,46,0.0
1994,PP*,DEPUTADO FEDERAL,34,513,6.63,2,22,9.09
1994,PPR,DEPUTADO ESTADUAL,113,1045,10.81,4,46,8.7
1994,PPR,DEPUTADO FEDERAL,51,513,9.94,0,22,0.0
1994,PRONA,DEPUTADO ESTADUAL,3,1045,0.29,0,46,0.0
1994,PRP,DEPUTADO ESTADUAL,7,1045,0.67,0,46,0.0
1994,PRP,DEPUTADO FEDERAL,1,513,0.19,0,22,0.0
1994,PRTB*,DEPUTADO ESTADUAL,1,1045,0.1,0,46,0.0
1994,PSB,DEPUTADO ESTADUAL,33,1045,3.16,1,46,2.17
1994,PSB,DEPUTADO FEDERAL,15,513,2.92,0,22,0.0
1994,PSC,DEPUTADO ESTADUAL,19,1045,1.82,2,46,4.35
1994,PSC,DEPUTADO FEDERAL,3,513,0.58,0,22,0.0
1994,PSD,DEPUTADO ESTADUAL,20,1045,1.91,1,46,2.17
1994,PSD,DEPUTADO FEDERAL,3,513,0.58,0,22,0.0
1994,PSDB,DEPUTADO ESTADUAL,97,1045,9.28,20,46,43.48
1994,PSDB,DEPUTADO FEDERAL,63,513,12.28,11,22,50.0
1994,PT,DEPUTADO ESTADUAL,92,1045,8.8,3,46,6.52
1994,PT,DEPUTADO FEDERAL,50,513,9.75,1,22,4.55
1994,PTB,DEPUTADO ESTADUAL,72,1045,6.89,1,46,2.17
1994,PTB,DEPUTADO FEDERAL,32,513,6.24,0,22,0.0
1994,PTC*,DEPUTADO ESTADUAL,2,1045,0.19,0,46,0.0
1994,PTC*,DEPUTADO FEDERAL,1,513,0.19,0,22,0.0
1994,PV,DEPUTADO ESTADUAL,4,1045,0.38,0,46,0.0
1994,PV,DEPUTADO FEDERAL,1,513,0.19,0,22,0.0
1998,AVANTE*,DEPUTADO ESTADUAL,5,927,0.54,0,41,0.0
1998,CIDADANIA*,DEPUTADO DISTRITAL,1,19,5.26,0,0,0.0
1998,CIDADANIA*,DEPUTADO ESTADUAL,20,927,2.16,4,41,9.76
1998,CIDADANIA*,DEPUTADO FEDERAL,3,450,0.67,0,20,0.0
1998,DC*,DEPUTADO ESTADUAL,3,927,0.32,0,41,0.0
1998,DEM*,DEPUTADO DISTRITAL,1,19,5.26,0,0,0.0
1998,DEM*,DEPUTADO ESTADUAL,153,927,16.5,2,41,4.88
1998,DEM*,DEPUTADO FEDERAL,90,450,20.0,1,20,5.0
1998,MDB*,DEPUTADO DISTRITAL,4,19,21.05,0,0,0.0
1998,MDB*,DEPUTADO ESTADUAL,154,927,16.61,5,41,12.2
1998,MDB*,DEPUTADO FEDERAL,74,450,16.44,5,20,25.0
1998,MOBILIZA*,DEPUTADO ESTADUAL,9,927,0.97,0,41,0.0
1998,MOBILIZA*,DEPUTADO FEDERAL,2,450,0.44,0,20,0.0
1998,PC DO B,DEPUTADO ESTADUAL,9,927,0.97,1,41,2.44
1998,PC DO B,DEPUTADO FEDERAL,7,450,1.56,1,20,5.0
1998,PDT,DEPUTADO DISTRITAL,1,19,5.26,0,0,0.0
1998,PDT,DEPUTADO ESTADUAL,61,927,6.58,1,41,2.44
1998,PDT,DEPUTADO FEDERAL,21,450,4.67,0,20,0.0
1998,PHS*,DEPUTADO ESTADUAL,1,927,0.11,0,41,0.0
1998,PL*,DEPUTADO DISTRITAL,1,19,5.26,0,0,0.0
1998,PL*,DEPUTADO ESTADUAL,37,927,3.99,1,41,2.44
1998,PL*,DEPUTADO FEDERAL,11,450,2.44,0,20,0.0
1998,PP*,DEPUTADO DISTRITAL,1,19,5.26,0,0,0.0
1998,PP*,DEPUTADO ESTADUAL,91,927,9.82,2,41,4.88
1998,PP*,DEPUTADO FEDERAL,55,450,12.22,1,20,5.0
1998,PRONA,DEPUTADO ESTADUAL,3,927,0.32,0,41,0.0
1998,PRONA,DEPUTADO FEDERAL,1,450,0.22,0,20,0.0
1998,PRP,DEPUTADO ESTADUAL,3,927,0.32,0,41,0.0
1998,PRTB*,DEPUTADO ESTADUAL,2,927,0.22,0,41,0.0
1998,PSB,DEPUTADO DISTRITAL,1,19,5.26,0,0,0.0
1998,PSB,DEPUTADO ESTADUAL,42,927,4.53,1,41,2.44
1998,PSB,DEPUTADO FEDERAL,17,450,3.78,1,20,5.0
1998,PSC,DEPUTADO DISTRITAL,1,19,5.26,0,0,0.0
1998,PSC,DEPUTADO ESTADUAL,14,927,1.51,1,41,2.44
1998,PSC,DEPUTADO FEDERAL,2,450,0.44,0,20,0.0
1998,PSD,DEPUTADO DISTRITAL,1,19,5.26,0,0,0.0
1998,PSD,DEPUTADO ESTADUAL,21,927,2.27,0,41,0.0
1998,PSD,DEPUTADO FEDERAL,2,450,0.44,0,20,0.0
1998,PSDB,DEPUTADO DISTRITAL,1,19,5.26,0,0,0.0
1998,PSDB,DEPUTADO ESTADUAL,136,927,14.67,18,41,43.9
1998,PSDB,DEPUTADO FEDERAL,84,450,18.67,10,20,50.0
1998,PSL,DEPUTADO ESTADUAL,10,927,1.08,0,41,0.0
1998,PSL,DEPUTADO FEDERAL,1,450,0.22,0,20,0.0
1998,PST,DEPUTADO ESTADUAL,2,927,0.22,0,41,0.0
1998,PST,DEPUTADO FEDERAL,1,450,0.22,0,20,0.0
1998,PT,DEPUTADO DISTRITAL,4,19,21.05,0,0,0.0
1998,PT,DEPUTADO ESTADUAL,77,927,8.31,3,41,7.32
1998,PT,DEPUTADO FEDERAL,53,450,11.78,1,20,5.0
