ANO_ELEICAO;SG_UF;SG_PARTIDO;DS_CARGO;DS_SIT_TOT_TURNO
1994;AC;DEM*;DEPUTADO ESTADUAL;5
1994;AC;MDB*;DEPUTADO ESTADUAL;6
1994;AC;MDB*;DEPUTADO FEDERAL;4
1994;AC;MOBILIZA*;DEPUTADO ESTADUAL;2
1994;AC;PC DO B;DEPUTADO ESTADUAL;1
1994;AC;PP*;DEPUTADO FEDERAL;1
1994;AC;PPR;DEPUTADO ESTADUAL;8
1994;AC;PPR;DEPUTADO FEDERAL;3
1994;AC;PT;DEPUTADO ESTADUAL;2
1994;AL;DEM*;DEPUTADO ESTADUAL;4
1994;AL;DEM*;DEPUTADO FEDERAL;1
1994;AL;MDB*;DEPUTADO ESTADUAL;6
1994;AL;MDB*;DEPUTADO FEDERAL;1
1994;AL;MOBILIZA*;DEPUTADO ESTADUAL;2
1994;AL;PP*;DEPUTADO ESTADUAL;3
1994;AL;PP*;DEPUTADO FEDERAL;1
1994;AL;PPR;DEPUTADO ESTADUAL;1
1994;AL;PPR;DEPUTADO FEDERAL;1
1994;AL;PRP;DEPUTADO ESTADUAL;1
1994;AL;PSB;DEPUTADO ESTADUAL;2
1994;AL;PSC;DEPUTADO ESTADUAL;6
1994;AL;PSC;DEPUTADO FEDERAL;1
1994;AL;PSD;DEPUTADO FEDERAL;1
1994;AL;PSDB;DEPUTADO FEDERAL;2
1994;AL;PT;DEPUTADO ESTADUAL;1
1994;AL;PTB;DEPUTADO ESTADUAL;1
1994;AL;PTB;DEPUTADO FEDERAL;1
1994;AM;DEM*;DEPUTADO ESTADUAL;2
1994;AM;DEM*;DEPUTADO FEDERAL;1
1994;AM;MDB*;DEPUTADO ESTADUAL;5
1994;AM;MDB*;DEPUTADO FEDERAL;3
1994;AM;MOBILIZA*;DEPUTADO ESTADUAL;1
1994;AM;PC DO B;DEPUTADO ESTADUAL;1
1994;AM;PP*;DEPUTADO ESTADUAL;1
1994;AM;PPR;DEPUTADO ESTADUAL;7
