ANO_ELEICAO;SG_UF;DS_CARGO;SG_PARTIDO;NR_CANDIDATO;NM_CANDIDATO;SQ_CANDIDATO;DS_SIT_TOT_TURNO;QT_VOTOS_TOTAL
1994;AC;DEPUTADO ESTADUAL;DEM*;25202;HAMILTON LUIZ DE ARAUJO ROCHA;1072520200535;ELEITO;0
1994;AC;DEPUTADO ESTADUAL;DEM*;25210;JOSE VIEIRA DE FARIAS;1072521000538;ELEITO POR MÉDIA;0
1994;AC;DEPUTADO ESTADUAL;DEM*;25211;RAIMUNDO GOMES LEITAO;1072521100539;ELEITO;0
1994;AC;DEPUTADO ESTADUAL;DEM*;25225;ALERCIO DIAS;1072522500546;ELEITO;0
1994;AC;DEPUTADO ESTADUAL;DEM*;25250;HILDEBRANDO PASCOAL NOGUEIRA NETO;1072525000551;ELEITO;0
1994;AC;DEPUTADO ESTADUAL;MDB*;15105;MARCIO MIGUEL BITTAR;1071510500495;ELEITO;0
1994;AC;DEPUTADO ESTADUAL;MDB*;15107;MAMEDE SAID MAIA FILHO;1071510700497;ELEITO;0
1994;AC;DEPUTADO ESTADUAL;MDB*;15108;ELSON BEZERRA DA SILVA COSTA;1071510800498;ELEITO;0
1994;AC;DEPUTADO ESTADUAL;MDB*;15122;VAGNER JOSE SALES;1071512200509;ELEITO;0
1994;AC;DEPUTADO ESTADUAL;MDB*;15127;JOAO CORREIA LIMA SOBRINHO;1071512700512;ELEITO;0
1994;AC;DEPUTADO ESTADUAL;MDB*;15130;JOSE TARCISIO MEDEIROS DE MORAES;1071513000513;ELEITO POR MÉDIA;0
1994;AC;DEPUTADO ESTADUAL;MOBILIZA*;33100;ROBERTO BARROS FILHO;1073310000554;ELEITO;0
1994;AC;DEPUTADO ESTADUAL;MOBILIZA*;33199;SERGIO DE OLIVEIRA CUNHA;1073319900571;ELEITO;0
1994;AC;DEPUTADO ESTADUAL;PC DO B;65200;SERGIO ROCHA TABOADA;1076520000592;ELEITO;0
1994;AC;DEPUTADO ESTADUAL;PPR;11106;JOSE RAIMUNDO BARROSO BESTENE;1071110600429;ELEITO;0
1994;AC;DEPUTADO ESTADUAL;PPR;11110;BENEDITO CAVALCANTE DAMASCENO;1071111000431;ELEITO POR MÉDIA;0
1994;AC;DEPUTADO ESTADUAL;PPR;11111;RAIMUNDO SALES COSTA;1071111100432;ELEITO;0
1994;AC;DEPUTADO ESTADUAL;PPR;11115;JOSE ELSON SANTIAGO DE MELO;1071111500436;ELEITO;0
1994;AC;DEPUTADO ESTADUAL;PPR;11116;ALVARO MOREIRA ROMERO;1071111600437;ELEITO;0
1994;AC;DEPUTADO ESTADUAL;PPR;11119;FRANCISCO LOPES PESSOA;1071111900440;ELEITO;0
1994;AC;DEPUTADO ESTADUAL;PPR;11120;ARMANDO SALVATIERRA BARROSO;1071112000441;ELEITO POR MÉDIA;0
1994;AC;DEPUTADO ESTADUAL;PPR;11133;CARLOS CESAR CORREIA DE MESSIAS;1071113300446;ELEITO;0
1994;AC;DEPUTADO ESTADUAL;PT;13121;RONALD POLANCO RIBEIRO;1071312100465;ELEITO POR MÉDIA;0
1994;AC;DEPUTADO ESTADUAL;PT;13133;NILSON MOURA LEITE MOURAO;1071313300469;ELEITO;0
1994;AC;DEPUTADO FEDERAL;MDB*;1504;MARIA ZILA FROTA BEZERRA DE OLIVEIRA;1060150400402;ELEITO POR MÉDIA;0
1994;AC;DEPUTADO FEDERAL;MDB*;1505;MAURI SERGIO MOURA DE OLIVEIRA;1060150500403;ELEITO;0
1994;AC;DEPUTADO FEDERAL;MDB*;1507;FRANCISCO BRIGIDO DA COSTA;1060150700404;ELEITO;0
1994;AC;DEPUTADO FEDERAL;MDB*;1522;FRANCISCO DIOGENES DE ARAUJO;1060152200409;ELEITO POR MÉDIA;0
1994;AC;DEPUTADO FEDERAL;PP*;3999;JOAO MAIA DA SILVA FILHO;1060399900412;ELEITO POR MÉDIA;0
1994;AC;DEPUTADO FEDERAL;PPR;1101;CARLOS AIRTON MAGALHAES SANTANA DE SOUZA;1060110100386;ELEITO;0
1994;AC;DEPUTADO FEDERAL;PPR;1110;AURICELIA FREITAS DE ASSIS;1060111000388;ELEITO;0
1994;AC;DEPUTADO FEDERAL;PPR;1112;JOSE EDMAR SANTIAGO DE MELO;1060111200390;ELEITO POR MÉDIA;0
1994;AL;DEPUTADO ESTADUAL;DEM*;25105;JOSE JADSON PEDRO DE FARIAS;2072510503869;ELEITO;0
1994;AL;DEPUTADO ESTADUAL;DEM*;25111;MARCELINO ALEXANDRE JOSE DOS SANTOS;2072511103870;ELEITO;0
1994;AL;DEPUTADO ESTADUAL;DEM*;25123;ROGERIO AUTO TEOFILO;2072512303871;ELEITO POR MÉDIA;0
1994;AL;DEPUTADO ESTADUAL;DEM*;25177;EDIVAL VIEIRA GAIA;2072517703872;ELEITO POR MÉDIA;0
