ANO_ELEICAO;SG_UF;SG_PARTIDO;DS_CARGO;DS_SIT_TOT_TURNO
1994;CE;DEM*;DEPUTADO ESTADUAL;2
1994;CE;MDB*;DEPUTADO ESTADUAL;5
1994;CE;PDT;DEPUTADO ESTADUAL;4
1994;CE;PL*;DEPUTADO ESTADUAL;3
1994;CE;PPR;DEPUTADO ESTADUAL;4
1994;CE;PSB;DEPUTADO ESTADUAL;1
1994;CE;PSC;DEPUTADO ESTADUAL;2
1994;CE;PSD;DEPUTADO ESTADUAL;1
1994;CE;PSDB;DEPUTADO ESTADUAL;20
1994;CE;PT;DEPUTADO ESTADUAL;3
1994;CE;PTB;DEPUTADO ESTADUAL;1
1998;CE;CIDADANIA*;DEPUTADO ESTADUAL;4
1998;CE;DEM*;DEPUTADO ESTADUAL;2
1998;CE;MDB*;DEPUTADO ESTADUAL;5
1998;CE;PC DO B;DEPUTADO ESTADUAL;1
1998;CE;PDT;DEPUTADO ESTADUAL;1
1998;CE;PL*;DEPUTADO ESTADUAL;1
1998;CE;PP*;DEPUTADO ESTADUAL;2
1998;CE;PSB;DEPUTADO ESTADUAL;1
1998;CE;PSC;DEPUTADO ESTADUAL;1
1998;CE;PSDB;DEPUTADO ESTADUAL;18
1998;CE;PT;DEPUTADO ESTADUAL;3
1998;CE;PTB;DEPUTADO ESTADUAL;2
2002;CE;CIDADANIA*;DEPUTADO ESTADUAL;3
2002;CE;DEM*;DEPUTADO ESTADUAL;1
2002;CE;MDB*;DEPUTADO ESTADUAL;4
2002;CE;PC DO B;DEPUTADO ESTADUAL;1
2002;CE;PDT;DEPUTADO ESTADUAL;1
2002;CE;PHS*;DEPUTADO ESTADUAL;2
2002;CE;PL*;DEPUTADO ESTADUAL;2
2002;CE;PP*;DEPUTADO ESTADUAL;2
2002;CE;PSB;DEPUTADO ESTADUAL;1
2002;CE;PSD;DEPUTADO ESTADUAL;1
2002;CE;PSDB;DEPUTADO ESTADUAL;15
2002;CE;PSL;DEPUTADO ESTADUAL;1
2002;CE;PST;DEPUTADO ESTADUAL;1
2002;CE;PT;DEPUTADO ESTADUAL;4
2006;CE;DC*;DEPUTADO ESTADUAL;2
2006;CE;DEM*;DEPUTADO ESTADUAL;1
2006;CE;MDB*;DEPUTADO ESTADUAL;5
2006;CE;PAN;DEPUTADO ESTADUAL;1
2006;CE;PC DO B;DEPUTADO ESTADUAL;1
2006;CE;PDT;DEPUTADO ESTADUAL;2
2006;CE;PHS*;DEPUTADO ESTADUAL;1
2006;CE;PSB;DEPUTADO ESTADUAL;8
2006;CE;PSDB;DEPUTADO ESTADUAL;13
2006;CE;PSL;DEPUTADO ESTADUAL;2
2006;CE;PT;DEPUTADO ESTADUAL;3
2006;CE;PV;DEPUTADO ESTADUAL;1
2010;CE;AVANTE*;DEPUTADO ESTADUAL;1
2010;CE;DEM*;DEPUTADO ESTADUAL;1
2010;CE;MDB*;DEPUTADO ESTADUAL;2
2010;CE;MOBILIZA*;DEPUTADO ESTADUAL;1
2010;CE;PC DO B;DEPUTADO ESTADUAL;1
2010;CE;PDT;DEPUTADO ESTADUAL;3
2010;CE;PHS*;DEPUTADO ESTADUAL;1
2010;CE;PL*;DEPUTADO ESTADUAL;2
2010;CE;PRP;DEPUTADO ESTADUAL;1
2010;CE;PSB;DEPUTADO ESTADUAL;10
2010;CE;PSDB;DEPUTADO ESTADUAL;6
2010;CE;PSL;DEPUTADO ESTADUAL;1
2010;CE;PT;DEPUTADO ESTADUAL;4
2010;CE;PTB;DEPUTADO ESTADUAL;1
2010;CE;PTN;DEPUTADO ESTADUAL;1
2010;CE;PV;DEPUTADO ESTADUAL;2
2010;CE;REPUBLICANOS*;DEPUTADO ESTADUAL;2
2014;CE;CIDADANIA*;DEPUTADO ESTADUAL;1
2014;CE;DC*;DEPUTADO ESTADUAL;1
2014;CE;DEM*;DEPUTADO ESTADUAL;1
2014;CE;MDB*;DEPUTADO ESTADUAL;6
2014;CE;PATRIOTA*;DEPUTADO ESTADUAL;1
2014;CE;PC DO B;DEPUTADO ESTADUAL;2
2014;CE;PDT;DEPUTADO ESTADUAL;3
2014;CE;PHS*;DEPUTADO ESTADUAL;1
2014;CE;PL*;DEPUTADO ESTADUAL;2
2014;CE;PP*;DEPUTADO ESTADUAL;2
2014;CE;PROS;DEPUTADO ESTADUAL;12
2014;CE;PRP;DEPUTADO ESTADUAL;1
2014;CE;PSC;DEPUTADO ESTADUAL;1
2014;CE;PSD;DEPUTADO ESTADUAL;2
2014;CE;PSDB;DEPUTADO ESTADUAL;1
2014;CE;PSL;DEPUTADO ESTADUAL;1
2014;CE;PSOL;DEPUTADO ESTADUAL;1
2014;CE;PT;DEPUTADO ESTADUAL;2
2014;CE;PTN;DEPUTADO ESTADUAL;1
2014;CE;PV;DEPUTADO ESTADUAL;1
2014;CE;REPUBLICANOS*;DEPUTADO ESTADUAL;1
2014;CE;SOLIDARIEDADE*;DEPUTADO ESTADUAL;2
2018;CE;CIDADANIA*;DEPUTADO ESTADUAL;1
2018;CE;DEM*;DEPUTADO ESTADUAL;1
2018;CE;MDB*;DEPUTADO ESTADUAL;4
2018;CE;PATRI;DEPUTADO ESTADUAL;3
2018;CE;PC DO B;DEPUTADO ESTADUAL;2
2018;CE;PDT;DEPUTADO ESTADUAL;14
2018;CE;PL*;DEPUTADO ESTADUAL;1
2018;CE;PP*;DEPUTADO ESTADUAL;3
2018;CE;PROS;DEPUTADO ESTADUAL;2
2018;CE;PSB;DEPUTADO ESTADUAL;1
2018;CE;PSD;DEPUTADO ESTADUAL;2
2018;CE;PSDB;DEPUTADO ESTADUAL;2
2018;CE;PSL;DEPUTADO ESTADUAL;2
2018;CE;PSOL;DEPUTADO ESTADUAL;1
2018;CE;PT;DEPUTADO ESTADUAL;4
