ANO_ELEICAO;SG_UF;CD_MUNICIPIO;SG_PARTIDO;NM_CANDIDATO
1996;CE;13897;PMDB;JURACI VIEIRA DE MAGALHAES
2000;CE;13005;PSD;SERGIO HERRERO GIMENEZ
2000;CE;13013;PSD;FRANCISCO JOAQUIM SAMPAIO
2000;CE;13021;PSDB;ANTONIA LOBO PINHO LIMA
2000;CE;13030;PSD;MAGDA MARIA NASCIMENTO GOMES
2000;CE;13048;PSDB;FRANCISCO DAS CHAGAS TORRES JÚNIOR
2000;CE;13056;PSDB;SHEILA REGINA ALBUQUERQUE DINIZ
2000;CE;13064;PSDB;PEDRO NEUDO BRITO
2000;CE;13072;PSDB;PEDRO ROBERSON FEITOSA
2000;CE;13080;PSD;JOSÉ GALDINO ALBUQUERQUE
2000;CE;13099;PSDB;JOAQUIM XIMENES DE CARVALHO
2000;CE;13102;PSDB;ANTONIO LUIZ COUTINHO CARVALHO
2000;CE;13110;PSDB;JOAO IVAN ALCANTARA
2000;CE;13129;PSDB;VALDERLAN FECHINE JAMACARU
2000;CE;13137;PSDB;FRANCISCO FRANÇA NOGUEIRA
2000;CE;13145;PTB;FLÁVIO CHAGAS BOMFIM JUNIOR
2000;CE;13153;PSD;FRANCISCO ITEILDO ROQUE DE ARAUJO
2000;CE;13161;PSD;ARGENTINA SAMPAIO PADILHA
2000;CE;13170;PSD;FRANCISCO JOSÉ BARBOSA GOIS
2000;CE;13188;PSDB;FRANCISCO CÉSAR DE SOUSA
2000;CE;13196;PPS;RITELZA CABRAL DEMETRIO
2000;CE;13200;PTB;JOSE ROMILTON CAVALCANTE
2000;CE;13218;PSD;JOSÉ HAMILTON SARAIVA BARBOSA
2000;CE;13226;PSDB;EDSON SÁ
2000;CE;13234;PFL;FRANCISCO ARY RIBEIRO TEIXEIRA
2000;CE;13242;PSDB;ANTONIO CARLOS TORRES FRADIQUE ACCIOLY
2000;CE;13250;PSDB;JOSE HUMBERTO GERMANO CORREIA
2000;CE;13269;PSD;MARIA ONEIDE PAIVA DIÓGENES
2000;CE;13277;PV;JULIO CESAR LIMA BATISTA
2000;CE;13285;PSDB;REGINA LÚCIA VASCONCELOS ALBINO
2000;CE;13293;PSDB;ANTÔNIO NUNES DE SOUSA
2000;CE;13307;PSD;PEDRO CANDIDO DE OLIVEIRA
2000;CE;13315;PSDB;ANTONIO BENJAMIM DE OLIVEIRA FILHO
2000;CE;13323;PSDB;JOÃO DA SILVA MOTA FILHO
2000;CE;13331;PSB;FRANCISCO CARLOS MACÊDO TAVARES
2000;CE;13340;PSDB;FRANCISCO NILSON MOREIRA
2000;CE;13358;PSD;NILTON RICARTE DE ALENCAR
2000;CE;13366;PPS;TERTULIANO CANDIDO DE ARAUJO
2000;CE;13374;PSDB;EDMUNDO DE SÁ FILHO
2000;CE;13382;PL;ANTONIO SALES MAGALHAES
2000;CE;13390;PPS;JOSÉ JANILDO ALVES DO NASCIMENTO
2000;CE;13404;PSDB;JAIME VERAS SILVA FILHO
2000;CE;13412;PSDB;CLOVIS AMORA VASCONCELOS FILHO
2000;CE;13420;PMDB;TANIA PAIVA NIBON MOURAO
2000;CE;13439;PSDB;ORLANDO FACO
2000;CE;13447;PFL;FRANCISCO ANTONIO LIMA
2000;CE;13455;PSDB;MARIA VANUSIA DE OLIVEIRA SOUSA
2000;CE;13463;PSD;PUBLIO JORGE MATIAS DINELLY
2000;CE;13471;PSD;FERNANDO ANTONIO VIEIRA ASSEF
2000;CE;13480;PSDB;LOURIVAL ASSUNÇÃO TAVARES
2000;CE;13498;PSDB;FRANCISCO WIDER LUCENA LANDIM
2000;CE;13501;PSDB;MARIA DA CONCEIÇÃO CHIANCA DE SOUZA
2000;CE;13510;PPS;SÉRGIO DE ARAÚJO LIMA AGUIAR
2000;CE;13536;PFL;JOSÉ LOURENÇO ARRAIS
2000;CE;13552;PPB;ANTONIO GLAUBER GONÇALVES MONTEIRO
2000;CE;13579;PMDB;HENRIQUE ANTONIO FONSECA DA MOTA
2000;CE;13595;PSDB;FRANCISCO JÚNIOR LOPES TAVARES
2000;CE;13617;PSD;ANTÔNIO NARCÉLIO RODRIGUES PONTE
2000;CE;13633;PSDB;LUCIA VANDA DE MORAIS GUIMARAES
2000;CE;13650;PTB;MIGUEL LEAL NETO
2000;CE;13676;PPS;ANTÔNIO ADEMIR BARROSO MARTINS
2000;CE;13692;PSD;EDUARDO FLORENTINO RIBEIRO
2000;CE;13714;PSDB;LAMARTINE ARAUJO RODRIGUES
2000;CE;13730;PPB;DOMINGOS JOSÉ BRASILEIRO PONTES
2000;CE;13757;PPB;JOÃO VIANA DE ARAÚJO
2000;CE;13773;PTB;PAULO SERGIO DE ALMEIDA PACHECO
2000;CE;13811;PMDB;LUIZ CARNEIRO DE ALBUQUERQUE
2000;CE;13838;PSDB;PAULO NAZARENO SOARES ROSA
2000;CE;13854;PPB;FRANCISCO WALTER PEIXOTO
2000;CE;13870;PSDB;JOSÉ VANDEVELDER FREITAS FRANCELINO
2000;CE;13919;PPS;JOSÉ LEALCI DE AZEVEDO
2000;CE;13935;PPS;RAIMUNDO ACINÉSIO BEZERRA
2000;CE;13951;PSD;CARMEM SALLES OLIVEIRA ARRUDA
2000;CE;13978;PSD;JOSE SOARES DE MACEDO
2000;CE;13994;PSDB;JOAQUIM GUIMARÃES NETO
2000;CE;14010;PMDB;FRANCISCO DE ASSIS TEIXEIRA LOPES
