ANO_ELEICAO;SG_UF;SG_PARTIDO;eleitos
2000;AC;DEM*;2
2000;AC;MDB*;5
2000;AC;PP*;5
2000;AC;PSDB;3
2000;AC;PT;7
2000;AL;AVANTE*;2
2000;AL;CIDADANIA*;2
2000;AL;DEM*;13
2000;AL;MDB*;17
2000;AL;PDT;8
2000;AL;PL*;2
2000;AL;PP*;3
2000;AL;PRTB*;3
2000;AL;PSB;13
2000;AL;PSC;1
2000;AL;PSD;1
2000;AL;PSDB;30
2000;AL;PSL;3
2000;AL;PTB;4
2000;AM;CIDADANIA*;2
2000;AM;DEM*;18
2000;AM;MDB*;14
2000;AM;PL*;9
2000;AM;PP*;1
2000;AM;PSDB;8
2000;AM;PST;1
2000;AM;PTB;9
2000;AP;DEM*;1
2000;AP;MDB*;2
2000;AP;PDT;3
2000;AP;PL*;1
2000;AP;PSB;5
2000;AP;PSC;1
2000;AP;PSDB;2
2000;AP;PTB;1
2000;BA;AVANTE*;4
2000;BA;DEM*;125
2000;BA;MDB*;32
2000;BA;MOBILIZA*;1
2000;BA;PAN;1
2000;BA;PDT;2
2000;BA;PHS*;1
2000;BA;PL*;71
2000;BA;PP*;42
2000;BA;PSB;6
2000;BA;PSC;12
2000;BA;PSD;2
2000;BA;PSDB;25
2000;BA;PSL;8
2000;BA;PST;1
2000;BA;PT;7
2000;BA;PTB;74
2000;BA;PTC*;2
2000;BA;PV;1
2000;CE;CIDADANIA*;17
2000;CE;DEM*;11
2000;CE;MDB*;12
2000;CE;PL*;1
2000;CE;PP*;10
2000;CE;PSB;3
2000;CE;PSD;36
2000;CE;PSDB;83
2000;CE;PT;2
2000;CE;PTB;7
2000;CE;PV;2
2000;ES;CIDADANIA*;1
2000;ES;DEM*;14
2000;ES;MDB*;18
2000;ES;MOBILIZA*;2
2000;ES;PDT;5
2000;ES;PHS*;1
2000;ES;PL*;3
2000;ES;PP*;3
2000;ES;PSB;6
2000;ES;PSD;1
2000;ES;PSDB;19
2000;ES;PTB;4
2000;ES;PTC*;1
2000;GO;CIDADANIA*;7
2000;GO;DC*;2
2000;GO;DEM*;37
2000;GO;MDB*;63
2000;GO;PDT;1
2000;GO;PL*;12
2000;GO;PP*;37
2000;GO;PSC;6
2000;GO;PSD;10
2000;GO;PSDB;60
2000;GO;PST;4
2000;GO;PT;1
2000;GO;PTB;4
2000;GO;PTN;1
2000;MA;CIDADANIA*;1
2000;MA;DEM*;71
2000;MA;MDB*;51
2000;MA;PDT;7
2000;MA;PL*;4
2000;MA;PP*;10
2000;MA;PRP;2
2000;MA;PRTB*;1
2000;MA;PSB;4
2000;MA;PSC;1
2000;MA;PSD;24
2000;MA;PSDB;17
2000;MA;PST;3
2000;MA;PT;2
2000;MA;PTB;16
2000;MG;CIDADANIA*;22
2000;MG;DC*;1
2000;MG;DEM*;152
2000;MG;MDB*;232
2000;MG;MOBILIZA*;7
2000;MG;PDT;38
2000;MG;PHS*;3
2000;MG;PL*;61
2000;MG;PP*;49
2000;MG;PRP;3
2000;MG;PSB;14
2000;MG;PSC;6
2000;MG;PSD;18
2000;MG;PSDB;137
2000;MG;PSL;1
2000;MG;PT;34
2000;MG;PTB;73
2000;MG;PTN;1
2000;MG;PV;1
2000;MS;CIDADANIA*;2
2000;MS;DEM*;5
2000;MS;MDB*;25
2000;MS;PDT;9
2000;MS;PP*;1
2000;MS;PSDB;23
2000;MS;PT;11
2000;MS;PTB;1
2000;MT;CIDADANIA*;22
2000;MT;DEM*;27
2000;MT;MDB*;21
2000;MT;PDT;4
2000;MT;PL*;1
2000;MT;PP*;2
2000;MT;PSB;1
2000;MT;PSDB;54
2000;MT;PT;2
2000;MT;PTB;5
2000;PA;CIDADANIA*;1
2000;PA;DEM*;4
2000;PA;MDB*;35
2000;PA;PDT;12
2000;PA;PL*;5
2000;PA;PP*;11
2000;PA;PRP;1
2000;PA;PSB;4
2000;PA;PSC;1
2000;PA;PSD;3
2000;PA;PSDB;46
2000;PA;PT;6
2000;PA;PTB;14
2000;PB;CIDADANIA*;2
2000;PB;DEM*;59
2000;PB;MDB*;83
2000;PB;PDT;20
2000;PB;PL*;5
2000;PB;PP*;14
2000;PB;PRP;1
2000;PB;PSB;1
2000;PB;PSDB;23
2000;PB;PSL;2
2000;PB;PT;2
2000;PB;PTB;11
2000;PE;CIDADANIA*;10
2000;PE;DC*;4
2000;PE;DEM*;46
2000;PE;MDB*;44
2000;PE;PC DO B;1
2000;PE;PDT;3
2000;PE;PHS*;1
2000;PE;PL*;1
2000;PE;PP*;6
2000;PE;PSB;32
2000;PE;PSC;1
2000;PE;PSDB;29
2000;PE;PSL;1
2000;PE;PT;4
2000;PE;PTB;1
2000;PI;CIDADANIA*;12
2000;PI;DEM*;65
2000;PI;MDB*;46
2000;PI;PDT;1
2000;PI;PL*;4
2000;PI;PP*;25
2000;PI;PRP;1
2000;PI;PSB;2
2000;PI;PSDB;50
2000;PI;PT;1
2000;PI;PTB;15
2000;PR;CIDADANIA*;15
2000;PR;DEM*;84
2000;PR;MDB*;82
2000;PR;PDT;19
2000;PR;PP*;29
2000;PR;PRP;4
2000;PR;PSB;3
2000;PR;PSC;4
2000;PR;PSD;1
2000;PR;PSDB;96
2000;PR;PSL;9
2000;PR;PST;2
2000;PR;PT;10
2000;PR;PTB;41
2000;RJ;CIDADANIA*;1
2000;RJ;DEM*;4
2000;RJ;MDB*;14
2000;RJ;MOBILIZA*;1
2000;RJ;PDT;34
2000;RJ;PL*;1
2000;RJ;PP*;9
2000;RJ;PSB;8
2000;RJ;PSD;1
2000;RJ;PSDB;11
2000;RJ;PT;1
2000;RJ;PTB;3
2000;RJ;PV;4
2000;RN;CIDADANIA*;4
2000;RN;DEM*;35
2000;RN;MDB*;55
2000;RN;PDT;4
2000;RN;PL*;12
2000;RN;PP*;37
2000;RN;PSB;6
2000;RN;PSD;1
2000;RN;PSDB;11
2000;RN;PT;1
2000;RN;PTB;1
2000;RO;DEM*;11
2000;RO;MDB*;13
2000;RO;MOBILIZA*;1
2000;RO;PDT;6
2000;RO;PP*;3
2000;RO;PSB;3
2000;RO;PSDB;4
2000;RO;PT;6
2000;RO;PTB;4
2000;RO;PV;1
2000;RR;DEM*;5
2000;RR;MDB*;1
2000;RR;PP*;1
2000;RR;PSDB;3
2000;RR;PST;3
2000;RR;PTB;2
2000;RS;DEM*;15
2000;RS;MDB*;139
2000;RS;PDT;78
2000;RS;PL*;3
2000;RS;PP*;174
2000;RS;PSB;7
2000;RS;PSDB;15
2000;RS;PT;35
2000;RS;PTB;31
2000;SC;CIDADANIA*;1
2000;SC;DEM*;58
2000;SC;MDB*;114
2000;SC;PDT;12
2000;SC;PL*;2
2000;SC;PP*;73
2000;SC;PSDB;19
2000;SC;PT;13
2000;SC;PTB;1
2000;SE;CIDADANIA*;10
2000;SE;DEM*;19
2000;SE;MDB*;15
2000;SE;PDT;1
2000;SE;PL*;2
2000;SE;PP*;2
2000;SE;PSB;3
2000;SE;PSDB;21
2000;SE;PT;2
2000;SP;CIDADANIA*;32
2000;SP;DC*;1
2000;SP;DEM*;89
2000;SP;MDB*;111
2000;SP;MOBILIZA*;1
2000;SP;PDT;21
2000;SP;PL*;32
2000;SP;PP*;34
2000;SP;PRP;4
2000;SP;PSB;12
2000;SP;PSD;13
2000;SP;PSDB;178
2000;SP;PSL;2
2000;SP;PST;1
2000;SP;PT;38
2000;SP;PTB;72
2000;SP;PV;4
2000;TO;CIDADANIA*;2
2000;TO;DEM*;56
2000;TO;MDB*;12
2000;TO;MOBILIZA*;1
2000;TO;PL*;2
2000;TO;PP*;37
2000;TO;PSDB;22
2000;TO;PST;1
2000;TO;PT;2
2000;TO;PTB;4
2004;AC;CIDADANIA*;2
2004;AC;DC*;1
2004;AC;MDB*;1
2004;AC;PL*;2
2004;AC;PP*;1
2004;AC;PSB;1
2004;AC;PSDB;2
2004;AC;PT;10
2004;AC;PTB;2
2004;AL;CIDADANIA*;7
2004;AL;DEM*;1
2004;AL;MDB*;17
2004;AL;MOBILIZA*;3
2004;AL;PDT;4
2004;AL;PL*;6
2004;AL;PP*;5
2004;AL;PRONA;1
2004;AL;PSB;22
2004;AL;PSDB;15
2004;AL;PT;2
2004;AL;PTB;19
2004;AM;CIDADANIA*;22
2004;AM;DEM*;4
2004;AM;MDB*;7
2004;AM;PDT;1
2004;AM;PL*;6
2004;AM;PP*;4
2004;AM;PRTB*;1
2004;AM;PSB;1
2004;AM;PSDB;6
2004;AM;PSL;3
2004;AM;PT;3
2004;AM;PTB;3
