ANO_ELEICAO,SG_PARTIDO,DS_CARGO,eleitos_partido_BR,total_BR,coeficiente_BR,eleitos_partido_CE,total_CE,coeficiente_CE
1994,CIDADANIA*,DEPUTADO ESTADUAL,3,1045,0.29,0,46,0.0
1994,DC*,0,0,0,0.0,0,0,0.0
1994,MDB*,DEPUTADO ESTADUAL,205,1045,19.62,5,46,10.87
1994,PATRI,0,0,0,0.0,0,0,0.0
1994,PDT,DEPUTADO ESTADUAL,86,1045,8.23,4,46,8.7
1994,PHS*,0,0,0,0.0,0,0,0.0
1994,PL*,DEPUTADO ESTADUAL,50,1045,4.78,3,46,6.52
1994,PP*,DEPUTADO ESTADUAL,55,1045,5.26,0,46,0.0
1994,PPR,DEPUTADO ESTADUAL,113,1045,10.81,4,46,8.7
1994,PROS,0,0,0,0.0,0,0,0.0
1994,PSB,DEPUTADO ESTADUAL,33,1045,3.16,1,46,2.17
1994,PSD,DEPUTADO ESTADUAL,20,1045,1.91,1,46,2.17
1994,PSDB,DEPUTADO ESTADUAL,97,1045,9.28,20,46,43.48
1994,PSL,0,0,0,0.0,0,0,0.0
1994,PT,DEPUTADO ESTADUAL,92,1045,8.8,3,46,6.52
1994,PV,DEPUTADO ESTADUAL,4,1045,0.38,0,46,0.0
1994,REPUBLICANOS*,0,0,0,0.0,0,0,0.0
1994,UNIÃO,0,0,0,0.0,0,0,0.0
1998,CIDADANIA*,DEPUTADO ESTADUAL,20,927,2.16,4,41,9.76
1998,DC*,DEPUTADO ESTADUAL,3,927,0.32,0,41,0.0
1998,MDB*,DEPUTADO ESTADUAL,154,927,16.61,5,41,12.2
1998,PATRI,0,0,0,0.0,0,0,0.0
1998,PDT,DEPUTADO ESTADUAL,61,927,6.58,1,41,2.44
1998,PHS*,DEPUTADO ESTADUAL,1,927,0.11,0,41,0.0
1998,PL*,DEPUTADO ESTADUAL,37,927,3.99,1,41,2.44
1998,PP*,DEPUTADO ESTADUAL,91,927,9.82,2,41,4.88
1998,PPR,0,0,0,0.0,0,0,0.0
1998,PROS,0,0,0,0.0,0,0,0.0
1998,PSB,DEPUTADO ESTADUAL,42,927,4.53,1,41,2.44
1998,PSD,DEPUTADO ESTADUAL,21,927,2.27,0,41,0.0
1998,PSDB,DEPUTADO ESTADUAL,136,927,14.67,18,41,43.9
1998,PSL,DEPUTADO ESTADUAL,10,927,1.08,0,41,0.0
1998,PT,DEPUTADO ESTADUAL,77,927,8.31,3,41,7.32
1998,PV,DEPUTADO ESTADUAL,4,927,0.43,0,41,0.0
1998,REPUBLICANOS*,0,0,0,0.0,0,0,0.0
1998,UNIÃO,0,0,0,0.0,0,0,0.0
2002,CIDADANIA*,DEPUTADO ESTADUAL,37,909,4.07,3,39,7.69
2002,DC*,DEPUTADO ESTADUAL,4,909,0.44,0,39,0.0
2002,MDB*,DEPUTADO ESTADUAL,113,909,12.43,4,39,10.26
2002,PATRI,0,0,0,0.0,0,0,0.0
2002,PDT,DEPUTADO ESTADUAL,54,909,5.94,1,39,2.56
2002,PHS*,DEPUTADO ESTADUAL,2,909,0.22,2,39,5.13
2002,PL*,DEPUTADO ESTADUAL,46,909,5.06,2,39,5.13
2002,PP*,DEPUTADO ESTADUAL,82,909,9.02,2,39,5.13
2002,PPR,0,0,0,0.0,0,0,0.0
2002,PROS,0,0,0,0.0,0,0,0.0
2002,PSB,DEPUTADO ESTADUAL,51,909,5.61,1,39,2.56
2002,PSD,DEPUTADO ESTADUAL,19,909,2.09,1,39,2.56
2002,PSDB,DEPUTADO ESTADUAL,118,909,12.98,15,39,38.46
2002,PSL,DEPUTADO ESTADUAL,10,909,1.1,1,39,2.56
2002,PT,DEPUTADO ESTADUAL,130,909,14.3,4,39,10.26
2002,PV,DEPUTADO ESTADUAL,10,909,1.1,0,39,0.0
2002,REPUBLICANOS*,0,0,0,0.0,0,0,0.0
2002,UNIÃO,0,0,0,0.0,0,0,0.0
2006,CIDADANIA*,DEPUTADO ESTADUAL,36,907,3.97,0,40,0.0
2006,DC*,DEPUTADO ESTADUAL,5,907,0.55,2,40,5.0
2006,MDB*,DEPUTADO ESTADUAL,144,907,15.88,5,40,12.5
2006,PATRI,0,0,0,0.0,0,0,0.0
2006,PDT,DEPUTADO ESTADUAL,58,907,6.39,2,40,5.0
2006,PHS*,DEPUTADO ESTADUAL,5,907,0.55,1,40,2.5
2006,PL*,DEPUTADO ESTADUAL,27,907,2.98,0,40,0.0
2006,PP*,DEPUTADO ESTADUAL,47,907,5.18,0,40,0.0
2006,PPR,0,0,0,0.0,0,0,0.0
2006,PROS,0,0,0,0.0,0,0,0.0
2006,PSB,DEPUTADO ESTADUAL,55,907,6.06,8,40,20.0
2006,PSD,0,0,0,0.0,0,0,0.0
2006,PSDB,DEPUTADO ESTADUAL,134,907,14.77,13,40,32.5
2006,PSL,DEPUTADO ESTADUAL,6,907,0.66,2,40,5.0
2006,PT,DEPUTADO ESTADUAL,109,907,12.02,3,40,7.5
2006,PV,DEPUTADO ESTADUAL,28,907,3.09,1,40,2.5
2006,REPUBLICANOS*,DEPUTADO ESTADUAL,3,907,0.33,0,40,0.0
2006,UNIÃO,0,0,0,0.0,0,0,0.0
2010,CIDADANIA*,DEPUTADO ESTADUAL,27,909,2.97,0,40,0.0
2010,DC*,DEPUTADO ESTADUAL,5,909,0.55,0,40,0.0
2010,MDB*,DEPUTADO ESTADUAL,132,909,14.52,2,40,5.0
2010,PATRI,0,0,0,0.0,0,0,0.0
2010,PDT,DEPUTADO ESTADUAL,66,909,7.26,3,40,7.5
2010,PHS*,DEPUTADO ESTADUAL,7,909,0.77,1,40,2.5
2010,PL*,DEPUTADO ESTADUAL,47,909,5.17,2,40,5.0
2010,PP*,DEPUTADO ESTADUAL,45,909,4.95,0,40,0.0
2010,PPR,0,0,0,0.0,0,0,0.0
2010,PROS,0,0,0,0.0,0,0,0.0
2010,PSB,DEPUTADO ESTADUAL,66,909,7.26,10,40,25.0
2010,PSD,0,0,0,0.0,0,0,0.0
2010,PSDB,DEPUTADO ESTADUAL,106,909,11.66,6,40,15.0
