ANO_ELEICAO,SG_PARTIDO,DS_CARGO,eleitos_partido_BR,total_BR,coeficiente_BR,eleitos_partido_CE,total_CE,coeficiente_CE
1994,CIDADANIA*,DEPUTADO FEDERAL,2,513,0.39,0,22,0.0
1994,DEM*,DEPUTADO FEDERAL,89,513,17.35,2,22,9.09
1994,MDB*,DEPUTADO FEDERAL,107,513,20.86,5,22,22.73
1994,PC DO B,DEPUTADO FEDERAL,10,513,1.95,1,22,4.55
1994,PDT,DEPUTADO FEDERAL,34,513,6.63,0,22,0.0
1994,PL*,DEPUTADO FEDERAL,13,513,2.53,0,22,0.0
1994,PP*,DEPUTADO FEDERAL,34,513,6.63,2,22,9.09
1994,PROS,0,0,0,0.0,0,0,0.0
1994,PSB,DEPUTADO FEDERAL,15,513,2.92,0,22,0.0
1994,PSD,DEPUTADO FEDERAL,3,513,0.58,0,22,0.0
1994,PSDB,DEPUTADO FEDERAL,63,513,12.28,11,22,50.0
1994,PT,DEPUTADO FEDERAL,50,513,9.75,1,22,4.55
1994,PTB,DEPUTADO FEDERAL,32,513,6.24,0,22,0.0
1994,UNIÃO,0,0,0,0.0,0,0,0.0
1998,CIDADANIA*,DEPUTADO FEDERAL,3,450,0.67,0,20,0.0
1998,DEM*,DEPUTADO FEDERAL,90,450,20.0,1,20,5.0
1998,MDB*,DEPUTADO FEDERAL,74,450,16.44,5,20,25.0
1998,PC DO B,DEPUTADO FEDERAL,7,450,1.56,1,20,5.0
1998,PDT,DEPUTADO FEDERAL,21,450,4.67,0,20,0.0
1998,PL*,DEPUTADO FEDERAL,11,450,2.44,0,20,0.0
1998,PP*,DEPUTADO FEDERAL,55,450,12.22,1,20,5.0
1998,PROS,0,0,0,0.0,0,0,0.0
1998,PSB,DEPUTADO FEDERAL,17,450,3.78,1,20,5.0
1998,PSD,DEPUTADO FEDERAL,2,450,0.44,0,20,0.0
1998,PSDB,DEPUTADO FEDERAL,84,450,18.67,10,20,50.0
1998,PT,DEPUTADO FEDERAL,53,450,11.78,1,20,5.0
1998,PTB,DEPUTADO FEDERAL,25,450,5.56,0,20,0.0
1998,UNIÃO,0,0,0,0.0,0,0,0.0
2002,CIDADANIA*,DEPUTADO FEDERAL,12,435,2.76,1,18,5.56
2002,DEM*,DEPUTADO FEDERAL,73,435,16.78,2,18,11.11
2002,MDB*,DEPUTADO FEDERAL,64,435,14.71,4,18,22.22
2002,PC DO B,DEPUTADO FEDERAL,11,435,2.53,1,18,5.56
2002,PDT,DEPUTADO FEDERAL,19,435,4.37,0,18,0.0
2002,PL*,DEPUTADO FEDERAL,22,435,5.06,1,18,5.56
2002,PP*,DEPUTADO FEDERAL,38,435,8.74,1,18,5.56
