ANO_ELEICAO,SG_PARTIDO,eleitos_partido_BR,total_BR,coeficiente_BR,eleitos_partido_CE,total_CE,coeficiente_CE
2000,CIDADANIA*,166,5555,2.99,17,184,9.24
2000,DEM*,1026,5555,18.47,11,184,5.98
2000,MDB*,1256,5555,22.61,12,184,6.52
2000,PDT,288,5555,5.18,0,184,0.0
2000,PL*,234,5555,4.21,1,184,0.54
2000,PP*,618,5555,11.13,10,184,5.43
2000,PSB,133,5555,2.39,3,184,1.63
2000,PSD,111,5555,2.0,36,184,19.57
2000,PSDB,989,5555,17.8,83,184,45.11
2000,PT,187,5555,3.37,2,184,1.09
2000,REPUBLICANOS*,0,0,0.0,0,0,0.0
2004,CIDADANIA*,310,5560,5.58,38,184,20.65
2004,DEM*,784,5560,14.1,5,184,2.72
2004,MDB*,1058,5560,19.03,18,184,9.78
2004,PDT,308,5560,5.54,3,184,1.63
2004,PL*,385,5560,6.92,5,184,2.72
2004,PP*,550,5560,9.89,9,184,4.89
2004,PSB,175,5560,3.15,2,184,1.09
2004,PSD,0,0,0.0,0,0,0.0
2004,PSDB,867,5560,15.59,70,184,38.04
2004,PT,408,5560,7.34,12,184,6.52
2004,REPUBLICANOS*,0,0,0.0,0,0,0.0
2008,CIDADANIA*,134,5557,2.41,2,184,1.09
2008,DEM*,494,5557,8.89,2,184,1.09
2008,MDB*,1198,5557,21.56,33,184,17.93
2008,PDT,352,5557,6.33,2,184,1.09
2008,PL*,385,5557,6.93,9,184,4.89
2008,PP*,553,5557,9.95,8,184,4.35
2008,PSB,312,5557,5.61,24,184,13.04
2008,PSD,0,0,0.0,0,0,0.0
2008,PSDB,790,5557,14.22,53,184,28.8
2008,PT,556,5557,10.01,15,184,8.15
2008,REPUBLICANOS*,52,5557,0.94,17,184,9.24
2012,CIDADANIA*,124,5568,2.23,0,184,0.0
2012,DEM*,280,5568,5.03,2,184,1.09
2012,MDB*,1019,5568,18.3,22,184,11.96
2012,PDT,306,5568,5.5,9,184,4.89
2012,PL*,273,5568,4.9,6,184,3.26
2012,PP*,475,5568,8.53,4,184,2.17
2012,PSB,436,5568,7.83,39,184,21.2
2012,PSD,498,5568,8.94,28,184,15.22
2012,PSDB,700,5568,12.57,13,184,7.07
2012,PT,642,5568,11.53,27,184,14.67
2012,REPUBLICANOS*,79,5568,1.42,15,184,8.15
2016,CIDADANIA*,121,5560,2.18,1,184,0.54
2016,DEM*,270,5560,4.86,1,184,0.54
2016,MDB*,1047,5560,18.83,28,184,15.22
2016,PDT,340,5560,6.12,49,184,26.63
2016,PL*,296,5560,5.32,11,184,5.98
2016,PP*,506,5560,9.1,8,184,4.35
2016,PSB,405,5560,7.28,2,184,1.09
2016,PSD,539,5560,9.69,21,184,11.41
2016,PSDB,802,5560,14.42,14,184,7.61
2016,PT,252,5560,4.53,14,184,7.61
2016,REPUBLICANOS*,103,5560,1.85,2,184,1.09
2020,CIDADANIA*,141,5564,2.53,1,182,0.55
2020,DEM*,474,5564,8.52,2,182,1.1
2020,MDB*,799,5564,14.36,17,182,9.34
2020,PDT,318,5564,5.72,65,182,35.71
2020,PL*,349,5564,6.27,13,182,7.14
2020,PP*,702,5564,12.62,10,182,5.49
2020,PSB,258,5564,4.64,8,182,4.4
2020,PSD,659,5564,11.84,26,182,14.29
2020,PSDB,530,5564,9.53,4,182,2.2
2020,PT,182,5564,3.27,18,182,9.89
2020,REPUBLICANOS*,217,5564,3.9,2,182,1.1
2024,CIDADANIA*,32,5549,0.58,0,182,0.0
2024,DEM*,0,0,0.0,0,0,0.0
2024,MDB*,861,5549,15.52,9,182,4.95
2024,PDT,151,5549,2.72,5,182,2.75
2024,PL*,517,5549,9.32,0,182,0.0
2024,PP*,750,5549,13.52,12,182,6.59
2024,PSB,311,5549,5.6,65,182,35.71
2024,PSD,890,5549,16.04,15,182,8.24
2024,PSDB,273,5549,4.92,2,182,1.1
2024,PT,252,5549,4.54,47,182,25.82
2024,REPUBLICANOS*,437,5549,7.88,14,182,7.69
