ANO_ELEICAO;DS_CARGO;SG_PARTIDO;CD_MUNICIPIO;votos_partido_municipio
1994;DEPUTADO ESTADUAL;PC DO B;13005;0
1994;DEPUTADO ESTADUAL;PC DO B;13013;0
1994;DEPUTADO ESTADUAL;PC DO B;13021;0
1994;DEPUTADO ESTADUAL;PC DO B;13030;0
1994;DEPUTADO ESTADUAL;PC DO B;13056;0
1994;DEPUTADO ESTADUAL;PC DO B;13072;0
1994;DEPUTADO ESTADUAL;PC DO B;13080;0
1994;DEPUTADO ESTADUAL;PC DO B;13102;0
1994;DEPUTADO ESTADUAL;PC DO B;13129;0
1994;DEPUTADO ESTADUAL;PC DO B;13137;0
1994;DEPUTADO ESTADUAL;PC DO B;13161;0
1994;DEPUTADO ESTADUAL;PC DO B;13170;0
1994;DEPUTADO ESTADUAL;PC DO B;13188;0
1994;DEPUTADO ESTADUAL;PC DO B;13196;0
1994;DEPUTADO ESTADUAL;PC DO B;13200;0
1994;DEPUTADO ESTADUAL;PC DO B;13218;0
1994;DEPUTADO ESTADUAL;PC DO B;13226;0
1994;DEPUTADO ESTADUAL;PC DO B;13234;0
1994;DEPUTADO ESTADUAL;PC DO B;13242;0
1994;DEPUTADO ESTADUAL;PC DO B;13277;0
1994;DEPUTADO ESTADUAL;PC DO B;13285;0
1994;DEPUTADO ESTADUAL;PC DO B;13307;0
1994;DEPUTADO ESTADUAL;PC DO B;13315;0
1994;DEPUTADO ESTADUAL;PC DO B;13331;0
1994;DEPUTADO ESTADUAL;PC DO B;13340;0
1994;DEPUTADO ESTADUAL;PC DO B;13358;0
1994;DEPUTADO ESTADUAL;PC DO B;13374;0
1994;DEPUTADO ESTADUAL;PC DO B;13382;0
1994;DEPUTADO ESTADUAL;PC DO B;13412;0
1994;DEPUTADO ESTADUAL;PC DO B;13439;0
1994;DEPUTADO ESTADUAL;PC DO B;13480;0
1994;DEPUTADO ESTADUAL;PC DO B;13498;0
1994;DEPUTADO ESTADUAL;PC DO B;13501;0
1994;DEPUTADO ESTADUAL;PC DO B;13510;0
1994;DEPUTADO ESTADUAL;PC DO B;13552;0
1994;DEPUTADO ESTADUAL;PC DO B;13579;0
1994;DEPUTADO ESTADUAL;PC DO B;13595;0
1994;DEPUTADO ESTADUAL;PC DO B;13617;0
1994;DEPUTADO ESTADUAL;PC DO B;13633;0
1994;DEPUTADO ESTADUAL;PC DO B;13650;0
1994;DEPUTADO ESTADUAL;PC DO B;13692;0
1994;DEPUTADO ESTADUAL;PC DO B;13730;0
1994;DEPUTADO ESTADUAL;PC DO B;13757;0
1994;DEPUTADO ESTADUAL;PC DO B;13773;0
1994;DEPUTADO ESTADUAL;PC DO B;13811;0
1994;DEPUTADO ESTADUAL;PC DO B;13838;0
1994;DEPUTADO ESTADUAL;PC DO B;13854;0
1994;DEPUTADO ESTADUAL;PC DO B;13870;0
1994;DEPUTADO ESTADUAL;PC DO B;13897;0
1994;DEPUTADO ESTADUAL;PC DO B;13919;0
1994;DEPUTADO ESTADUAL;PC DO B;13951;0
1994;DEPUTADO ESTADUAL;PC DO B;14010;0
1994;DEPUTADO ESTADUAL;PC DO B;14036;0
1994;DEPUTADO ESTADUAL;PC DO B;14052;0
1994;DEPUTADO ESTADUAL;PC DO B;14060;0
1994;DEPUTADO ESTADUAL;PC DO B;14079;0
1994;DEPUTADO ESTADUAL;PC DO B;14095;0
1994;DEPUTADO ESTADUAL;PC DO B;14117;0
1994;DEPUTADO ESTADUAL;PC DO B;14133;0
1994;DEPUTADO ESTADUAL;PC DO B;14176;0
1994;DEPUTADO ESTADUAL;PC DO B;14192;0
1994;DEPUTADO ESTADUAL;PC DO B;14214;0
1994;DEPUTADO ESTADUAL;PC DO B;14230;0
1994;DEPUTADO ESTADUAL;PC DO B;14257;0
1994;DEPUTADO ESTADUAL;PC DO B;14273;0
1994;DEPUTADO ESTADUAL;PC DO B;14290;0
1994;DEPUTADO ESTADUAL;PC DO B;14311;0
1994;DEPUTADO ESTADUAL;PC DO B;14338;0
1994;DEPUTADO ESTADUAL;PC DO B;14354;0
1994;DEPUTADO ESTADUAL;PC DO B;14370;0
1994;DEPUTADO ESTADUAL;PC DO B;14397;0
1994;DEPUTADO ESTADUAL;PC DO B;14419;0
1994;DEPUTADO ESTADUAL;PC DO B;14478;0
1994;DEPUTADO ESTADUAL;PC DO B;14516;0
1994;DEPUTADO ESTADUAL;PC DO B;14532;0
1994;DEPUTADO ESTADUAL;PC DO B;14559;0
1994;DEPUTADO ESTADUAL;PC DO B;14591;0
1994;DEPUTADO ESTADUAL;PC DO B;14630;0
1994;DEPUTADO ESTADUAL;PC DO B;14656;0
1994;DEPUTADO ESTADUAL;PC DO B;14680;0
1994;DEPUTADO ESTADUAL;PC DO B;14699;0
1994;DEPUTADO ESTADUAL;PC DO B;14737;0
1994;DEPUTADO ESTADUAL;PC DO B;14753;0
1994;DEPUTADO ESTADUAL;PC DO B;14834;0
1994;DEPUTADO ESTADUAL;PC DO B;14850;0
1994;DEPUTADO ESTADUAL;PC DO B;14877;0
1994;DEPUTADO ESTADUAL;PC DO B;14893;0
1994;DEPUTADO ESTADUAL;PC DO B;14915;0
1994;DEPUTADO ESTADUAL;PC DO B;14931;0
1994;DEPUTADO ESTADUAL;PC DO B;14958;0
1994;DEPUTADO ESTADUAL;PC DO B;14974;0
1994;DEPUTADO ESTADUAL;PC DO B;15016;0
1994;DEPUTADO ESTADUAL;PC DO B;15032;0
1994;DEPUTADO ESTADUAL;PC DO B;15059;0
1994;DEPUTADO ESTADUAL;PC DO B;15075;0
1994;DEPUTADO ESTADUAL;PC DO B;15091;0
1994;DEPUTADO ESTADUAL;PC DO B;15113;0
1994;DEPUTADO ESTADUAL;PC DO B;15156;0
1994;DEPUTADO ESTADUAL;PC DO B;15172;0
1994;DEPUTADO ESTADUAL;PC DO B;15199;0
1994;DEPUTADO ESTADUAL;PC DO B;15237;0
1994;DEPUTADO ESTADUAL;PC DO B;15270;0
1994;DEPUTADO ESTADUAL;PC DO B;15296;0
1994;DEPUTADO ESTADUAL;PC DO B;15318;0
1994;DEPUTADO ESTADUAL;PC DO B;15334;0
1994;DEPUTADO ESTADUAL;PC DO B;15377;0
1994;DEPUTADO ESTADUAL;PC DO B;15431;0
1994;DEPUTADO ESTADUAL;PC DO B;15458;0
1994;DEPUTADO ESTADUAL;PC DO B;15474;0
1994;DEPUTADO ESTADUAL;PC DO B;15490;0
1994;DEPUTADO ESTADUAL;PC DO B;15512;0
1994;DEPUTADO ESTADUAL;PC DO B;15539;0
1994;DEPUTADO ESTADUAL;PC DO B;15555;0
1994;DEPUTADO ESTADUAL;PC DO B;15571;0
1994;DEPUTADO ESTADUAL;PC DO B;15598;0
1994;DEPUTADO ESTADUAL;PC DO B;15610;0
1994;DEPUTADO ESTADUAL;PC DO B;15636;0
1994;DEPUTADO ESTADUAL;PC DO B;15652;0
1994;DEPUTADO ESTADUAL;PC DO B;15679;0
1994;DEPUTADO ESTADUAL;PC DO B;15695;0
1994;DEPUTADO ESTADUAL;PC DO B;15717;0
1994;DEPUTADO ESTADUAL;PC DO B;15733;0
